pzn;categories;enabled;family;parent;groups;X_SELL-groups;X_SELL-products;X_SELL-product_models;UPSELL-groups;UPSELL-products;UPSELL-product_models;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;PACK-groups;PACK-products;PACK-product_models;setzugehoerigkeit-groups;setzugehoerigkeit-products;setzugehoerigkeit-product_models;ean_gtin
03378294;all_articles,kind0und0familie0frauengesundheit0nahrungsergaenzung0fuer0frauen,kind0und0familie0frauengesundheit0wechseljahresbeschwerden0nahrungsergaenzungsmittel0bei0wechseljahr,nahrungsergaenzung050,nahrungsergaenzung0aus0der0natur;1;abda_artikel;3350946400;;;;;;;;;;;;;;;;;09008124001799
15888238;all_articles,gesichtspflege0gesichtspflege0hauttyp0reife0haut;1;abda_artikel;;3349994500;;;;;;;;;;;;;;;;03661434006395
16779451;all_articles,kind0und0familie0selbsttests0cerascreen;1;abda_artikel;;;;;;;;;;;;;;;;;;04251620705011
14219989;all_articles,verbandsmaterial0binden0fixierbinde0elastische;1;abda_artikel;;;;;;;;;;;;;;;;;;04042809591507
13715798;all_articles,verhuetungsmittel;1;abda_artikel;;;;;;;;;;;;;;;;;;05011831087097
13584729;all_articles,freie0arterien0cholesterin;1;abda_artikel;3350954300;;;;;;;;;;;;;;;;;04021901847293
12464615;all_articles,eucerin0empfindliche0haut,eucerin0sonnenschutz0gesicht,nachhaltigkeit0ohne0mikroplastik0sonnenschutzprodukte,sonnenschutzmittel0sonnenschutz0empfindliche0haut,sonnenschutzmittel0sonnenspray0transparentes,sonnenschutzmittel0uv0schutz;1;abda_artikel;3348584200;3348584200;;;;;;;;;;;;;;;;09005800249728
10064627;all_articles,diabetes0und0ernaehrung0diabetes0nahrungsergaenzung,tees;1;abda_artikel;;;;;;;;;;;;;;;;;;09120011850041
09156614;all_articles,duschen0baden;1;abda_artikel;;;;;;;;;;;;;;;;;;09002757001133
15197132;all_articles,koerperpflege0koerpercreme0bodylotion,vegane0pflege;1;abda_artikel;3352233700;;;;;;;;;;;;;;;;;07621500306459
14323178;all_articles,gesichtspflege0gesichtspflege0hauttyp0reife0haut;1;abda_artikel;;;;;;;;;;;;;;;;;;07640150561070
05390371;all_articles,diabetes0hautpflege0fusscreme,fusspflegeprodukte0fusscreme0mit0urea,sebamed0trockene0haut;1;abda_artikel;3345518900;3345518900;;;;;;;;;;;;;;;;04103040909787
08400288;all_articles,nahrungsergaenzung050;1;abda_artikel;;;;;;;;;;;;;;;;;;04260204740850
12700151;all_articles,schmerzen0und0verletzungen0kaelte0und0waermetherapie0waermetherapie0waermekissen0moorkissen;1;abda_artikel;;;;;;;;;;;;;;;;;;04021269124111
03486204;all_articles,verbandsmaterial0binden0fixierbinde0elastische;1;abda_artikel;;;;;;;;;;;;;;;;;;04042809022940
15874839;all_articles,mgo040;1;abda_artikel;;;;;;;;;;;;;;;;;;09421023628056
15996525;abnehmen0und0diaet0diaetkost0proteinriegel0optifast,abnehmen0und0diaet0low0carb0snacks0riegel,all_articles,optifast;1;abda_artikel;3351291700;;;;;;;;;;;;;;;;;07613036655125
06429193;all_articles,duschen0baden,hauterkrankungen0neurodermitis0duschgel,koerperpflege0nach0hauttypen0allergische0haut;1;abda_artikel;3343644100;3343644100;;;;;;;;;;;;;;;;04051452031056
